Time	MOTOR-M-SST2.Pos[mm]	HEATER-ETS-41.Mode	HEATER-ETS-41.WSP	HEATER-ETS-41.PV1	HEATER-ETS-41.SPP	GENERATOR-PS-41.P[W]	GENERATOR-PS-41.U[V]	GENERATOR-PS-41.I[A]	GAUGE-G41.p[mBar]	CHAMBER-PREP.State
12:14:11.0	-31.69	0.0	30.0	22.0	12.7	0.00	0.04	0.00	1.1E-9	0
12:14:12.0	-31.69	0.0	30.0	22.0	12.7	0.00	0.04	0.00	1.1E-9	0
12:14:13.0	-35.86	0.0	30.0	22.0	12.9	0.00	0.04	0.00	1.1E-9	0
12:14:14.0	-44.22	0.0	30.0	22.0	12.9	0.03	0.04	0.79	1.1E-9	0
12:14:15.0	-48.40	0.0	22.0	22.0	6.6	8.19	10.24	0.80	1.1E-9	0
12:14:16.0	-52.58	0.0	22.0	22.0	6.6	8.19	10.24	0.80	1.1E-9	0
12:14:17.0	-56.76	0.0	23.0	22.0	7.0	8.19	10.24	0.80	1.1E-9	0
12:14:18.0	-60.94	0.0	24.0	22.0	7.5	8.19	10.24	0.80	1.1E-9	0
12:14:19.0	-65.11	0.0	24.0	22.0	8.3	2.97	6.07	0.49	1.1E-9	0
12:14:20.0	-69.29	0.0	25.0	22.0	8.7	3.39	6.64	0.51	1.1E-9	0
12:14:21.0	-73.47	0.0	25.0	22.0	8.7	3.39	6.64	0.51	1.1E-9	0
12:14:22.0	-73.93	0.0	26.0	22.0	9.2	3.39	6.64	0.51	1.1E-9	0
12:14:23.0	-73.29	0.0	26.0	22.0	9.6	3.39	6.64	0.51	1.1E-9	0
12:14:24.0	-72.75	0.0	27.0	22.0	10.0	3.39	6.64	0.51	1.1E-9	0
12:14:25.0	-72.75	0.0	27.0	22.0	10.8	3.39	6.64	0.51	1.1E-9	0
12:14:26.0	-72.75	0.0	28.0	22.0	11.2	5.30	8.28	0.64	1.1E-9	0
12:14:27.0	-72.75	0.0	28.0	22.0	11.2	5.30	8.28	0.64	1.1E-9	0
12:14:28.0	-72.75	0.0	29.0	22.0	11.8	5.30	8.28	0.64	1.1E-9	0
12:14:29.0	-72.75	0.0	29.0	22.0	12.3	5.30	8.28	0.64	1.1E-9	0
12:14:30.0	-72.75	0.0	30.0	22.0	12.8	5.30	8.28	0.64	1.1E-9	0
12:14:31.0	-72.75	0.0	30.0	22.0	13.4	7.93	9.91	0.80	1.1E-9	0
12:14:32.0	-72.75	0.0	31.0	22.0	13.9	7.93	9.91	0.80	1.1E-9	0
12:14:33.0	-72.75	0.0	31.0	22.0	13.9	9.31	10.70	0.87	1.1E-9	0
12:14:34.0	-72.75	0.0	32.0	22.0	14.6	10.53	11.57	0.91	1.1E-9	0
12:14:35.0	-72.75	0.0	32.0	22.0	15.1	10.53	11.57	0.91	1.1E-9	0
12:14:36.0	-72.75	0.0	33.0	22.0	15.6	11.69	12.18	0.96	1.1E-9	0
12:14:37.0	-72.75	0.0	33.0	22.0	16.1	12.39	12.52	0.99	1.1E-9	0
12:14:38.0	-72.75	0.0	34.0	22.0	16.9	12.39	12.52	0.99	1.1E-9	0
12:14:39.0	-72.75	0.0	34.0	22.0	16.9	12.39	12.52	0.99	1.1E-9	0
